Frame,Theta1,Theta2,Theta3,ServoAngle,Time(s)
11,-139.55,-76.76,-19.99,2,4.701
12,-139.55,-76.83,-19.92,2,4.743
13,-139.55,-76.95,-19.91,2,4.790
14,-139.58,-76.97,-19.98,2,4.841
15,-139.51,-76.88,-19.98,2,4.888
16,-139.55,-76.90,-20.09,3,5.046
17,-139.56,-76.83,-20.04,3,5.095
18,-139.89,-76.44,-19.53,3,5.142
23,-143.22,-68.83,-17.60,3,5.395
24,-146.39,-61.99,-15.30,3,5.457
25,-149.12,-55.55,-13.46,3,5.504
26,-151.53,-49.70,-11.82,3,5.551
27,-153.84,-44.58,-10.25,3,5.612
28,-155.99,-40.12,-8.68,3,5.655
29,-157.81,-35.90,-7.34,3,5.704
30,-159.57,-32.24,-6.13,3,5.749
31,-161.12,-28.91,-5.13,4,5.907
32,-162.43,-25.75,-4.22,4,5.954
33,-163.74,-23.18,-3.25,4,6.002
34,-164.88,-20.77,-2.44,4,6.050
35,-165.93,-18.70,-1.74,4,6.096
36,-166.84,-16.73,-1.17,4,6.157
37,-167.67,-15.02,-0.51,4,6.217
38,-168.45,-13.46,0.02,4,6.264
40,-169.20,-12.23,0.63,4,6.374
42,-169.74,-10.86,0.96,4,6.468
43,-170.36,-9.84,1.33,4,6.516
44,-170.79,-8.71,1.68,4,6.576
45,-171.29,-7.89,1.97,4,6.623
46,-171.71,-7.03,2.25,5,6.779
47,-172.00,-6.17,2.50,5,6.841
48,-172.34,-5.57,2.81,5,6.890
49,-172.66,-5.03,3.07,5,6.954
50,-172.81,-4.33,3.24,5,7.004
51,-172.99,-3.81,3.38,5,7.052
52,-173.24,-3.37,3.43,5,7.098
53,-173.37,-2.88,3.56,5,7.158
54,-173.44,-2.39,3.60,5,7.204
55,-173.60,-2.13,3.71,5,7.252
56,-173.75,-1.88,3.80,5,7.303
57,-173.84,-1.63,3.98,5,7.354
58,-173.95,-1.27,3.89,5,7.409
59,-174.14,-1.20,4.05,5,7.467
60,-174.32,-1.14,4.12,5,7.523
61,-174.43,-1.03,4.26,6,7.684
62,-174.50,-0.74,4.14,6,7.732
63,-174.50,-0.66,4.35,6,7.789
64,-174.54,-0.48,4.30,6,7.848
65,-174.60,-0.33,4.26,6,7.899
66,-174.64,-0.27,4.39,6,7.951
67,-174.64,-0.17,4.51,6,8.003
68,-174.68,-0.19,4.68,6,8.053
70,-174.72,-0.14,4.76,6,8.156
71,-174.75,-0.16,4.99,6,8.214
72,-174.88,-0.22,5.14,6,8.276
73,-174.80,0.01,5.09,6,8.337
74,-174.78,0.02,5.21,6,8.386
75,-174.76,0.25,5.00,6,8.435
76,-174.74,0.38,4.97,7,8.586
77,-174.69,0.45,5.03,7,8.634
78,-174.72,0.36,5.15,7,8.681
79,-174.75,0.36,5.10,7,8.742
80,-174.73,0.48,5.07,7,8.789
81,-174.71,0.52,5.11,7,8.836
82,-174.71,0.54,5.24,7,8.900
83,-174.73,0.53,5.18,7,8.957
84,-174.75,0.44,5.37,7,9.006
85,-174.79,0.43,5.39,7,9.054
86,-174.82,0.41,5.40,7,9.100
87,-174.71,0.61,5.42,7,9.149
88,-174.74,0.52,5.49,7,9.210
89,-174.72,0.63,5.33,7,9.272
90,-174.75,0.53,5.42,7,9.316
91,-174.83,0.38,5.60,8,9.472
92,-174.80,0.43,5.58,8,9.534
93,-174.87,0.45,5.59,8,9.592
94,-174.94,0.46,5.41,8,9.652
95,-174.98,0.49,5.26,8,9.700
96,-174.99,0.48,5.37,8,9.762
97,-174.99,0.54,5.30,8,9.823
98,-174.90,0.70,5.25,8,9.883
99,-174.86,0.72,5.27,8,9.928
100,-174.93,0.63,5.21,8,9.975
101,-174.89,0.72,5.07,8,10.026
102,-174.94,0.65,5.11,8,10.089
103,-174.94,0.71,5.07,8,10.147
104,-174.91,0.86,4.88,8,10.209
105,-174.84,0.90,4.93,8,10.255
106,-174.86,0.85,4.90,9,10.412
107,-174.92,0.68,5.04,9,10.458
108,-174.89,0.76,5.01,9,10.505
109,-174.86,0.83,4.99,9,10.554
110,-174.78,0.94,4.88,9,10.598
111,-174.81,0.80,5.11,9,10.645
112,-174.79,0.87,5.07,9,10.701
113,-174.80,0.83,5.20,9,10.755
114,-174.82,0.87,5.07,9,10.814
116,-174.85,0.81,5.11,9,10.917
117,-174.86,0.92,4.91,9,10.966
118,-174.92,0.74,5.05,9,11.027
119,-174.98,0.65,5.00,9,11.088
120,-174.90,0.78,4.90,9,11.135
121,-175.00,0.65,4.96,10,11.291
122,-174.96,0.73,4.77,10,11.338
123,-174.92,0.81,4.68,10,11.385
124,-174.97,0.73,4.67,10,11.433
125,-174.80,1.03,4.60,10,11.495
126,-174.82,0.94,4.70,10,11.542
127,-174.88,0.85,4.69,10,11.588
128,-174.81,0.88,4.86,10,11.647
129,-174.83,0.90,4.76,10,11.696
130,-174.85,0.77,4.92,10,11.743
131,-174.77,0.82,4.97,10,11.790
132,-174.76,0.89,4.96,10,11.852
133,-174.87,0.75,5.01,10,11.914
134,-174.84,0.82,4.98,10,11.975
135,-174.82,0.90,4.96,10,12.022
136,-174.75,0.94,5.01,11,12.169
137,-174.83,0.82,5.06,11,12.216
138,-174.89,0.74,5.01,11,12.274
139,-174.95,0.65,5.15,11,12.321
140,-175.00,0.57,5.28,11,12.367
141,-175.06,0.49,5.30,11,12.414
142,-175.01,0.53,5.32,11,12.462
143,-175.00,0.44,5.41,11,12.507
144,-175.01,0.44,5.41,11,12.552
145,-174.97,0.62,5.18,11,12.614
146,-175.07,0.43,5.29,11,12.676
147,-175.02,0.46,5.40,11,12.736
148,-174.97,0.49,5.50,11,12.785
149,-175.02,0.44,5.50,11,12.829
150,-174.97,0.47,5.50,11,12.891
152,-174.97,0.46,5.50,12,13.092
153,-174.94,0.55,5.35,12,13.143
154,-174.90,0.58,5.28,12,13.201
155,-174.82,0.64,5.22,12,13.247
156,-174.80,0.65,5.25,12,13.295
157,-174.78,0.73,5.21,12,13.360
158,-174.72,0.78,5.24,12,13.408
159,-174.79,0.70,5.26,12,13.465
160,-174.86,0.54,5.37,12,13.527
161,-174.84,0.63,5.22,12,13.573
162,-174.81,0.65,5.16,12,13.633
163,-174.83,0.53,5.28,12,13.682
164,-174.94,0.34,5.38,12,13.736
165,-174.91,0.46,5.24,12,13.792
166,-175.01,0.35,5.18,13,13.944
167,-174.92,0.51,5.14,13,13.996
168,-175.06,0.28,5.17,13,14.051
169,-175.06,0.36,5.13,13,14.112
170,-175.05,0.36,5.17,13,14.161
171,-174.96,0.38,5.37,13,14.225
172,-174.88,0.46,5.30,13,14.284
173,-174.98,0.35,5.24,13,14.346
174,-174.94,0.47,5.10,13,14.408
175,-174.99,0.49,4.98,13,14.470
176,-174.95,0.44,5.11,13,14.515
177,-174.92,0.39,5.23,13,14.562
178,-174.93,0.46,5.09,13,14.623
179,-174.98,0.49,4.97,13,14.673
180,-174.89,0.56,5.03,13,14.720
182,-174.95,0.50,5.08,14,14.922
183,-174.91,0.68,4.97,14,14.969
184,-174.83,0.81,4.86,14,15.018
185,-174.94,0.75,4.67,14,15.064
186,-174.86,0.81,4.75,14,15.119
187,-174.82,0.96,4.59,14,15.178
188,-174.89,0.84,4.69,14,15.237
189,-174.90,0.87,4.69,14,15.298
190,-174.97,0.77,4.69,14,15.360
191,-174.88,0.82,4.77,14,15.421
192,-174.89,0.78,4.75,14,15.469
193,-174.86,0.79,4.73,14,15.514
194,-174.92,0.70,4.80,14,15.564
195,-174.83,0.92,4.72,14,15.626
196,-174.81,0.91,4.80,15,15.780
197,-174.82,0.93,4.70,15,15.843
198,-174.75,1.04,4.62,15,15.888
199,-174.91,0.77,4.79,15,15.938
200,-174.87,0.92,4.62,15,16.004
202,-175.02,0.57,4.78,15,16.114
203,-174.98,0.59,4.86,15,16.167
204,-174.93,0.62,4.82,15,16.218
205,-174.99,0.54,4.98,15,16.276
206,-175.04,0.40,5.11,15,16.338
207,-174.95,0.49,5.15,15,16.385
208,-174.87,0.71,4.95,15,16.432
209,-174.88,0.75,4.93,15,16.482
210,-174.94,0.68,4.98,15,16.540
211,-174.90,0.69,4.95,16,16.694
212,-174.82,0.82,4.92,16,16.755
213,-174.80,0.82,4.98,16,16.812
214,-174.77,0.82,5.12,16,16.870
215,-174.88,0.60,5.25,16,16.916
216,-174.94,0.46,5.35,16,16.964
217,-174.90,0.49,5.37,16,17.019
218,-174.95,0.44,5.37,16,17.069
219,-174.82,0.57,5.47,16,17.127
220,-174.78,0.62,5.38,16,17.174
221,-174.76,0.56,5.47,16,17.238
222,-174.83,0.49,5.48,16,17.298
223,-174.80,0.45,5.47,16,17.345
224,-174.79,0.55,5.40,16,17.393
225,-174.72,0.63,5.40,16,17.441
226,-174.79,0.48,5.49,17,17.593
227,-174.83,0.45,5.41,17,17.639
228,-174.80,0.48,5.42,17,17.686
229,-174.86,0.36,5.51,17,17.745
230,-174.83,0.40,5.42,17,17.792
231,-174.81,0.43,5.52,17,17.854
232,-174.79,0.54,5.36,17,17.918
233,-174.77,0.57,5.28,17,17.978
234,-174.88,0.45,5.31,17,18.023
235,-174.76,0.73,5.09,17,18.072
236,-174.80,0.76,5.05,17,18.134
239,-174.82,0.72,5.10,17,18.306
240,-174.84,0.62,5.20,17,18.353
241,-174.86,0.51,5.31,18,18.510
242,-174.83,0.47,5.40,18,18.572
243,-174.80,0.44,5.49,18,18.617
244,-174.91,0.27,5.56,18,18.664
245,-174.93,0.20,5.63,18,18.725
246,-174.93,0.22,5.52,18,18.787
247,-174.89,0.29,5.52,18,18.832
248,-174.90,0.38,5.26,18,18.880
249,-174.91,0.31,5.36,18,18.928
250,-174.83,0.33,5.44,18,18.974
251,-174.88,0.24,5.60,18,19.032
252,-174.85,0.31,5.50,18,19.084
253,-174.90,0.21,5.57,18,19.132
255,-174.97,0.16,5.56,18,19.240
256,-174.93,0.22,5.56,19,19.396
257,-174.90,0.28,5.47,19,19.443
259,-174.96,0.25,5.38,19,19.549
260,-174.96,0.19,5.37,19,19.608
261,-174.97,0.13,5.55,19,19.658
262,-174.88,0.33,5.37,19,19.719
263,-174.76,0.54,5.22,19,19.767
264,-174.66,0.72,5.09,19,19.829
265,-174.74,0.64,5.05,19,19.878
266,-174.67,0.79,4.84,19,19.924
267,-174.62,0.99,4.66,19,19.971
268,-174.58,1.09,4.57,19,20.020
269,-174.53,1.18,4.50,19,20.081
270,-174.55,1.14,4.51,19,20.142
271,-174.59,1.06,4.61,20,20.297
272,-174.59,1.11,4.62,20,20.359
273,-174.63,1.12,4.55,20,20.407
274,-174.66,1.12,4.48,20,20.469
275,-174.65,1.18,4.50,20,20.530
276,-174.68,1.10,4.51,20,20.592
277,-174.68,1.06,4.53,20,20.652
279,-174.72,0.99,4.54,20,20.761
280,-174.74,1.00,4.38,20,20.823
281,-174.73,1.13,4.34,20,20.870
282,-174.77,1.05,4.36,20,20.931
283,-174.70,1.08,4.38,20,20.993
284,-174.65,1.09,4.41,20,21.055
285,-174.59,1.20,4.35,20,21.103
286,-174.54,1.13,4.54,21,21.250
287,-174.54,1.09,4.55,21,21.305
288,-174.51,1.10,4.56,21,21.352
289,-174.61,0.90,4.64,21,21.398
290,-174.56,0.86,4.80,21,21.445
291,-174.47,0.95,4.79,21,21.494
292,-174.43,0.99,4.76,21,21.556
293,-174.44,0.91,4.90,21,21.616
294,-174.45,0.91,4.87,21,21.663
295,-174.37,0.99,4.94,21,21.712
296,-174.38,0.98,4.99,21,21.771
297,-174.36,1.09,4.87,21,21.820
298,-174.42,1.02,4.84,21,21.867
299,-174.53,0.76,4.97,21,21.913
300,-174.45,0.77,5.01,21,21.961
301,-174.41,0.83,4.88,22,22.113
302,-174.52,0.65,4.94,22,22.159
303,-174.61,0.57,5.00,22,22.208
304,-174.56,0.64,4.87,22,22.269
305,-174.61,0.61,4.77,22,22.316
306,-174.51,0.72,4.84,22,22.364
307,-174.61,0.57,4.89,22,22.428
308,-174.56,0.64,4.77,22,22.473
309,-174.53,0.69,4.85,22,22.521
310,-174.49,0.74,4.83,22,22.583
311,-174.45,0.87,4.72,22,22.643
312,-174.46,0.79,4.79,22,22.691
313,-174.42,0.84,4.78,22,22.738
314,-174.48,0.72,4.84,22,22.799
315,-174.49,0.65,4.98,22,22.848
316,-174.50,0.59,4.92,23,22.999
317,-174.47,0.66,4.89,23,23.055
318,-174.43,0.65,4.95,23,23.117
319,-174.35,0.75,4.91,23,23.164
320,-174.37,0.68,4.88,23,23.209
321,-174.44,0.63,4.86,23,23.257
322,-174.45,0.57,5.00,23,23.317
323,-174.51,0.55,4.96,23,23.379
324,-174.42,0.67,4.84,23,23.428
325,-174.44,0.61,4.89,23,23.491
326,-174.45,0.64,4.77,23,23.537
327,-174.51,0.53,4.75,23,23.597
328,-174.51,0.48,4.81,23,23.645
329,-174.48,0.55,4.71,23,23.706
330,-174.44,0.62,4.70,23,23.752
331,-174.46,0.48,4.85,24,23.907
332,-174.38,0.60,4.74,24,23.955
333,-174.45,0.42,4.88,24,24.016
334,-174.47,0.37,4.94,24,24.076
335,-174.38,0.51,4.90,24,24.123
336,-174.45,0.41,4.95,24,24.171
337,-174.46,0.38,5.00,24,24.218
338,-174.43,0.45,4.96,24,24.275
340,-174.54,0.33,5.00,24,24.370
341,-174.54,0.29,5.05,24,24.415
342,-174.55,0.19,5.33,24,24.464
343,-174.55,0.18,5.33,24,24.513
344,-174.60,0.21,5.16,24,24.560
345,-174.60,0.19,5.19,24,24.605
346,-174.55,0.37,5.05,25,24.761
347,-174.46,0.43,5.08,25,24.808
348,-174.43,0.50,5.05,25,24.857
349,-174.31,0.17,4.97,25,24.918
350,-174.14,-0.26,5.16,25,24.966
351,-173.90,-0.48,5.25,25,25.027
352,-173.79,-0.73,5.12,25,25.075
353,-173.60,-0.93,5.24,25,25.125
354,-173.43,-1.10,5.23,25,25.169
355,-173.22,-1.27,5.40,25,25.231
356,-173.12,-1.51,5.55,25,25.292
357,-173.08,-1.71,5.44,25,25.338
358,-173.03,-1.88,5.42,25,25.400
359,-172.91,-1.93,5.39,25,25.448
360,-172.80,-1.99,5.46,25,25.511
361,-172.71,-2.14,5.62,26,25.667
362,-172.63,-2.22,5.52,26,25.728
363,-172.47,-2.12,5.45,26,25.775
364,-172.40,-2.19,5.46,26,25.822
365,-172.37,-2.34,5.62,26,25.864
367,-172.26,-2.34,5.62,26,25.961
368,-172.18,-2.35,5.70,26,26.021
369,-172.20,-2.39,5.55,26,26.070
370,-172.20,-2.48,5.57,26,26.131
371,-172.11,-2.46,5.58,26,26.192
372,-172.08,-2.49,5.48,26,26.239
373,-172.11,-2.57,5.41,26,26.299
374,-171.99,-2.36,5.18,26,26.346
375,-171.98,-2.35,5.08,26,26.391
376,-171.97,-2.39,5.11,27,26.549
377,-172.06,-2.45,5.08,27,26.598
378,-171.99,-2.39,4.98,27,26.643
379,-171.99,-2.29,4.81,27,26.699
380,-172.01,-2.32,4.74,27,26.755
381,-172.03,-2.33,4.66,27,26.815
382,-171.93,-2.16,4.53,27,26.861
383,-171.82,-1.98,4.48,27,26.923
384,-171.86,-2.02,4.35,27,26.984
385,-171.89,-2.06,4.22,27,27.030
386,-171.80,-1.98,4.19,27,27.092
387,-171.76,-1.95,4.19,27,27.138
388,-171.81,-2.02,4.10,27,27.187
389,-171.87,-2.10,4.10,27,27.234
390,-171.96,-2.28,4.18,27,27.278
391,-172.00,-2.33,4.18,28,27.435
392,-171.92,-2.24,4.25,28,27.480
393,-171.84,-2.22,4.38,28,27.530
394,-171.79,-2.17,4.27,28,27.593
395,-171.80,-2.25,4.32,28,27.654
396,-171.71,-2.20,4.34,28,27.701
397,-171.60,-2.06,4.29,28,27.749
398,-171.62,-2.15,4.35,28,27.808
399,-171.55,-2.13,4.48,28,27.856
400,-171.53,-2.14,4.48,28,27.917
401,-171.46,-1.97,4.28,28,27.965
402,-171.50,-2.05,4.32,28,28.010
403,-171.44,-2.04,4.45,28,28.058
404,-171.39,-2.04,4.50,28,28.105
405,-171.39,-2.08,4.61,28,28.167
406,-171.48,-2.14,4.49,29,28.322
407,-171.46,-2.09,4.37,29,28.382
408,-171.45,-2.18,4.45,29,28.429
409,-171.39,-2.14,4.35,29,28.476
411,-171.40,-2.23,4.53,29,28.571
412,-171.39,-2.32,4.71,29,28.617
413,-171.44,-2.28,4.43,29,28.679
414,-171.42,-2.32,4.58,29,28.729
415,-171.37,-2.35,4.64,29,28.777
416,-171.39,-2.36,4.64,29,28.827
417,-171.26,-2.24,4.65,29,28.872
418,-171.31,-2.26,4.61,29,28.918
419,-171.36,-2.40,4.69,29,28.966
420,-171.37,-2.48,4.75,29,29.012
421,-171.39,-2.61,4.96,30,29.163
422,-171.39,-2.66,5.00,30,29.208
423,-171.10,-3.24,5.11,30,29.258
425,-170.83,-3.67,5.32,30,29.365
427,-170.50,-3.95,5.45,30,29.462
428,-170.35,-4.37,5.53,30,29.506
429,-170.21,-4.67,5.44,30,29.553
430,-169.99,-5.00,5.60,30,29.601
431,-169.80,-5.08,5.51,30,29.648
432,-169.62,-5.28,5.50,30,29.710
433,-169.55,-5.54,5.53,30,29.768
434,-169.40,-5.76,5.67,30,29.818
435,-169.23,-5.88,5.66,30,29.865
436,-169.16,-6.03,5.67,31,30.019
437,-169.07,-6.17,5.73,31,30.081
438,-169.01,-6.31,5.69,31,30.129
439,-168.90,-6.47,5.76,31,30.174
440,-168.78,-6.51,5.74,31,30.222
441,-168.70,-6.65,5.88,31,30.284
442,-168.58,-6.66,5.83,31,30.331
443,-168.57,-6.87,5.99,31,30.375
444,-168.48,-6.95,6.00,31,30.422
445,-168.45,-6.96,5.91,31,30.471
446,-168.40,-7.08,5.98,31,30.517
447,-168.33,-6.99,5.87,31,30.578
448,-168.30,-7.05,5.86,31,30.624
449,-168.36,-7.33,6.08,31,30.674
450,-168.29,-7.38,6.20,31,30.723
451,-168.27,-7.37,6.11,32,30.875
452,-168.24,-7.49,6.18,32,30.923
453,-168.21,-7.53,6.13,32,30.985
454,-168.26,-7.59,5.99,32,31.046
455,-168.24,-7.66,6.03,32,31.095
456,-168.22,-7.69,6.02,32,31.157
457,-168.14,-7.61,5.98,32,31.204
459,-168.16,-7.67,5.88,32,31.300
460,-168.07,-7.62,5.81,32,31.358
461,-168.06,-7.65,5.73,32,31.418
462,-168.03,-7.67,5.86,32,31.470
463,-168.04,-7.64,5.79,32,31.528
464,-167.99,-7.62,5.80,32,31.575
465,-167.99,-7.62,5.78,32,31.624
466,-167.87,-7.49,5.76,33,31.779
467,-167.81,-7.48,5.71,33,31.825
468,-167.81,-7.53,5.78,33,31.874
469,-167.79,-7.53,5.68,33,31.935
470,-167.79,-7.46,5.45,33,31.997
471,-167.81,-7.59,5.61,33,32.058
